Time (s),Position (m)
0.003,0.015
0.006,0.03
0.009000000000000001,0.045
0.012,0.06
0.015,0.075
0.018,0.09
0.020999999999999998,0.105
0.023999999999999997,0.12
0.026999999999999996,0.135
0.029999999999999995,0.15000000000000002
0.032999999999999995,0.16500000000000004
0.036,0.18000000000000005
0.039,0.19500000000000006
0.042,0.21000000000000008
0.045000000000000005,0.2250000000000001
0.04800000000000001,0.2400000000000001
0.05100000000000001,0.2550000000000001
0.05400000000000001,0.27000000000000013
0.057000000000000016,0.28500000000000014
0.06000000000000002,0.30000000000000016
0.06300000000000001,0.31500000000000017
0.06600000000000002,0.3300000000000002
0.06900000000000002,0.3450000000000002
0.07200000000000002,0.3600000000000002
0.07500000000000002,0.3750000000000002
0.07800000000000003,0.39000000000000024
0.08100000000000003,0.40500000000000025
0.08400000000000003,0.42000000000000026
0.08700000000000004,0.4350000000000003
0.09000000000000004,0.4500000000000003
0.09300000000000004,0.4650000000000003
0.09600000000000004,0.4800000000000003
0.09900000000000005,0.49500000000000033
0.10200000000000005,0.5100000000000003
0.10500000000000005,0.5250000000000004
0.10800000000000005,0.5400000000000004
0.11100000000000006,0.5550000000000004
0.11400000000000006,0.5700000000000004
0.11700000000000006,0.5850000000000004
0.12000000000000006,0.6000000000000004
0.12300000000000007,0.6150000000000004
0.12600000000000006,0.6300000000000004
0.12900000000000006,0.6450000000000005
0.13200000000000006,0.6600000000000005
0.13500000000000006,0.6750000000000005
0.13800000000000007,0.6900000000000005
0.14100000000000007,0.7050000000000005
0.14400000000000007,0.7200000000000005
0.14700000000000008,0.7350000000000005
0.15000000000000008,0.7500000000000006
0.15300000000000008,0.7650000000000006
0.15600000000000008,0.7800000000000006
0.15900000000000009,0.7950000000000006
0.1620000000000001,0.8100000000000006
0.1650000000000001,0.8250000000000006
0.1680000000000001,0.8400000000000006
0.1710000000000001,0.8550000000000006
0.1740000000000001,0.8700000000000007
0.1770000000000001,0.8850000000000007
0.1800000000000001,0.9000000000000007
0.1830000000000001,0.9150000000000007
0.1860000000000001,0.9300000000000007
0.1890000000000001,0.9450000000000007
0.19200000000000012,0.9600000000000007
0.19500000000000012,0.9750000000000008
0.19800000000000012,0.9900000000000008
0.20100000000000012,1.0050000000000008
0.20400000000000013,1.0200000000000007
0.20700000000000013,1.0350000000000006
0.21000000000000013,1.0500000000000005
0.21300000000000013,1.0650000000000004
0.21600000000000014,1.0800000000000003
0.21900000000000014,1.0950000000000002
0.22200000000000014,1.11
0.22500000000000014,1.125
0.22800000000000015,1.14
0.23100000000000015,1.1549999999999998
0.23400000000000015,1.1699999999999997
0.23700000000000015,1.1849999999999996
0.24000000000000016,1.1999999999999995
0.24300000000000016,1.2149999999999994
0.24600000000000016,1.2299999999999993
0.24900000000000017,1.2449999999999992
0.25200000000000017,1.2599999999999991
0.25500000000000017,1.274999999999999
0.2580000000000002,1.289999999999999
0.2610000000000002,1.3049999999999988
0.2640000000000002,1.3199999999999987
0.2670000000000002,1.3349999999999986
0.2700000000000002,1.3499999999999985
0.2730000000000002,1.3649999999999984
0.2760000000000002,1.3799999999999983
0.2790000000000002,1.3949999999999982
0.2820000000000002,1.4099999999999981
0.2850000000000002,1.424999999999998
0.2880000000000002,1.439999999999998
0.2910000000000002,1.4549999999999979
0.2940000000000002,1.4699999999999978
0.2970000000000002,1.4849999999999977
0.3000000000000002,1.4999999999999976
0.3030000000000002,1.5149999999999975
0.3060000000000002,1.5299999999999974
0.3090000000000002,1.5449999999999973
0.3120000000000002,1.5599999999999972
0.3150000000000002,1.574999999999997
0.3180000000000002,1.589999999999997
0.32100000000000023,1.6049999999999969
0.32400000000000023,1.6199999999999968
0.32700000000000023,1.6349999999999967
0.33000000000000024,1.6499999999999966
0.33300000000000024,1.6649999999999965
0.33600000000000024,1.6799999999999964
0.33900000000000025,1.6949999999999963
0.34200000000000025,1.7099999999999962
0.34500000000000025,1.724999999999996
0.34800000000000025,1.739999999999996
0.35100000000000026,1.754999999999996
0.35400000000000026,1.7699999999999958
0.35700000000000026,1.7849999999999957
0.36000000000000026,1.7999999999999956
0.36300000000000027,1.8149999999999955
0.36600000000000027,1.8299999999999954
0.36900000000000027,1.8449999999999953
0.3720000000000003,1.8599999999999952
0.3750000000000003,1.8749999999999951
0.3780000000000003,1.889999999999995
0.3810000000000003,1.904999999999995
0.3840000000000003,1.9199999999999948
0.3870000000000003,1.9349999999999947
0.3900000000000003,1.9499999999999946
0.3930000000000003,1.9649999999999945
0.3960000000000003,1.9799999999999944
0.3990000000000003,1.9949999999999943
0.4020000000000003,2.0099999999999945
0.4050000000000003,2.0249999999999946
0.4080000000000003,2.0399999999999947
0.4110000000000003,2.054999999999995
0.4140000000000003,2.069999999999995
0.4170000000000003,2.084999999999995
0.4200000000000003,2.099999999999995
0.4230000000000003,2.1149999999999953
0.4260000000000003,2.1299999999999955
0.4290000000000003,2.1449999999999956
0.43200000000000033,2.1599999999999957
0.43500000000000033,2.174999999999996
0.43800000000000033,2.189999999999996
0.44100000000000034,2.204999999999996
0.44400000000000034,2.219999999999996
0.44700000000000034,2.2349999999999963
0.45000000000000034,2.2499999999999964
0.45300000000000035,2.2649999999999966
0.45600000000000035,2.2799999999999967
0.45900000000000035,2.294999999999997
0.46200000000000035,2.309999999999997
0.46500000000000036,2.324999999999997
0.46800000000000036,2.339999999999997
0.47100000000000036,2.3549999999999973
0.47400000000000037,2.3699999999999974
0.47700000000000037,2.3849999999999976
0.48000000000000037,2.3999999999999977
0.4830000000000004,2.414999999999998
