Time (s),Position (m)
0.01,0.0031209999999999988
0.02,-0.004758000000000002
0.03,-0.012637000000000002
0.04,-0.020516000000000003
0.05,-0.028395000000000004
0.060000000000000005,-0.036274
0.07,-0.044153
0.08,-0.052031999999999995
0.09,-0.05991099999999999
0.09999999999999999,-0.06778999999999999
0.10999999999999999,-0.07566899999999999
0.11999999999999998,-0.08354799999999998
0.12999999999999998,-0.09142699999999998
0.13999999999999999,-0.09930599999999998
0.15,-0.10718499999999997
0.16,-0.11506399999999997
0.17,-0.12294299999999997
0.18000000000000002,-0.13082199999999997
0.19000000000000003,-0.13870099999999996
0.20000000000000004,-0.14657999999999996
0.21000000000000005,-0.15445899999999996
0.22000000000000006,-0.16233799999999995
0.23000000000000007,-0.17021699999999995
0.24000000000000007,-0.17809599999999995
0.25000000000000006,-0.18597499999999995
0.26000000000000006,-0.19385399999999994
0.2700000000000001,-0.20173299999999994
0.2800000000000001,-0.20961199999999994
0.2900000000000001,-0.21749099999999993
0.3000000000000001,-0.22536999999999993
0.3100000000000001,-0.23324899999999993
0.3200000000000001,-0.24112799999999993
0.3300000000000001,-0.24900699999999992
0.34000000000000014,-0.25688599999999995
0.35000000000000014,-0.264765
0.36000000000000015,-0.272644
0.37000000000000016,-0.280523
0.38000000000000017,-0.28840200000000005
0.3900000000000002,-0.29628100000000007
0.4000000000000002,-0.3041600000000001
0.4100000000000002,-0.3120390000000001
0.4200000000000002,-0.31991800000000015
0.4300000000000002,-0.32779700000000017
0.4400000000000002,-0.3356760000000002
0.45000000000000023,-0.3435550000000002
0.46000000000000024,-0.35143400000000025
0.47000000000000025,-0.35931300000000027
0.48000000000000026,-0.3671920000000003
0.49000000000000027,-0.3750710000000003
0.5000000000000002,-0.38295000000000035
0.5100000000000002,-0.39082900000000037
0.5200000000000002,-0.3987080000000004
0.5300000000000002,-0.4065870000000004
0.5400000000000003,-0.41446600000000045
0.5500000000000003,-0.42234500000000047
0.5600000000000003,-0.4302240000000005
0.5700000000000003,-0.4381030000000005
0.5800000000000003,-0.44598200000000054
0.5900000000000003,-0.45386100000000057
0.6000000000000003,-0.4617400000000006
0.6100000000000003,-0.4696190000000006
0.6200000000000003,-0.47749800000000064
0.6300000000000003,-0.48537700000000067
0.6400000000000003,-0.4932560000000007
0.6500000000000004,-0.5011350000000007
0.6600000000000004,-0.5090140000000006
0.6700000000000004,-0.5168930000000006
0.6800000000000004,-0.5247720000000006
0.6900000000000004,-0.5326510000000005
0.7000000000000004,-0.5405300000000005
0.7100000000000004,-0.5484090000000005
0.7200000000000004,-0.5562880000000004
0.7300000000000004,-0.5641670000000004
0.7400000000000004,-0.5720460000000004
0.7500000000000004,-0.5799250000000004
0.7600000000000005,-0.5878040000000003
0.7700000000000005,-0.5956830000000003
0.7800000000000005,-0.6035620000000003
0.7900000000000005,-0.6114410000000002
0.8000000000000005,-0.6193200000000002
0.8100000000000005,-0.6271990000000002
0.8200000000000005,-0.6350780000000001
0.8300000000000005,-0.6429570000000001
0.8400000000000005,-0.6508360000000001
0.8500000000000005,-0.658715
0.8600000000000005,-0.666594
0.8700000000000006,-0.674473
0.8800000000000006,-0.682352
0.8900000000000006,-0.6902309999999999
0.9000000000000006,-0.6981099999999999
0.9100000000000006,-0.7059889999999999
0.9200000000000006,-0.7138679999999998
0.9300000000000006,-0.7217469999999998
0.9400000000000006,-0.7296259999999998
0.9500000000000006,-0.7375049999999997
0.9600000000000006,-0.7453839999999997
0.9700000000000006,-0.7532629999999997
0.9800000000000006,-0.7611419999999997
0.9900000000000007,-0.7690209999999996
1.0000000000000007,-0.7768999999999996
1.0100000000000007,-0.7847789999999996
1.0200000000000007,-0.7926579999999995
1.0300000000000007,-0.8005369999999995
1.0400000000000007,-0.8084159999999995
1.0500000000000007,-0.8162949999999994
1.0600000000000007,-0.8241739999999994
1.0700000000000007,-0.8320529999999994
1.0800000000000007,-0.8399319999999993
1.0900000000000007,-0.8478109999999993
1.1000000000000008,-0.8556899999999993
1.1100000000000008,-0.8635689999999993
1.1200000000000008,-0.8714479999999992
1.1300000000000008,-0.8793269999999992
1.1400000000000008,-0.8872059999999992
1.1500000000000008,-0.8950849999999991
1.1600000000000008,-0.9029639999999991
1.1700000000000008,-0.9108429999999991
1.1800000000000008,-0.918721999999999
1.1900000000000008,-0.926600999999999
1.2000000000000008,-0.934479999999999
1.2100000000000009,-0.942358999999999
1.2200000000000009,-0.9502379999999989
1.2300000000000009,-0.9581169999999989
1.2400000000000009,-0.9659959999999989
1.2500000000000009,-0.9738749999999988
1.260000000000001,-0.9817539999999988
1.270000000000001,-0.9896329999999988
1.280000000000001,-0.9975119999999987
1.290000000000001,-1.0053909999999988
1.300000000000001,-1.0132699999999988
1.310000000000001,-1.0211489999999988
1.320000000000001,-1.0290279999999987
1.330000000000001,-1.0369069999999987
1.340000000000001,-1.0447859999999987
1.350000000000001,-1.0526649999999986
1.360000000000001,-1.0605439999999986
1.370000000000001,-1.0684229999999986
1.380000000000001,-1.0763019999999985
1.390000000000001,-1.0841809999999985
1.400000000000001,-1.0920599999999985
1.410000000000001,-1.0999389999999984
1.420000000000001,-1.1078179999999984
1.430000000000001,-1.1156969999999984
1.440000000000001,-1.1235759999999984
1.450000000000001,-1.1314549999999983
1.460000000000001,-1.1393339999999983
1.470000000000001,-1.1472129999999983
1.480000000000001,-1.1550919999999982
1.490000000000001,-1.1629709999999982
1.500000000000001,-1.1708499999999982
1.5100000000000011,-1.1787289999999981
1.5200000000000011,-1.186607999999998
1.5300000000000011,-1.194486999999998
